Date,Exchange Rate,Currency Pair
2025-10-07,4013,KHR/USD
2025-10-07,4013,KHR/USD
2025-10-08,4015,KHR/USD
2025-10-09,4016,KHR/USD
2025-10-10,4019,KHR/USD
2025-10-13,4020,KHR/USD
2025-10-13,4020,KHR/USD
2025-10-13,4020,KHR/USD
2025-10-14,4023,KHR/USD
2025-10-16,4023,KHR/USD
2025-10-16,4023,KHR/USD
2025-10-17,4025,KHR/USD
2025-10-20,4027,KHR/USD
2025-10-20,4027,KHR/USD
2025-10-20,4027,KHR/USD
2025-10-21,4035,KHR/USD
2025-10-22,4032,KHR/USD
2025-10-23,4031,KHR/USD
2025-10-24,4028,KHR/USD
2025-10-27,4025,KHR/USD
2025-10-27,4025,KHR/USD
2025-10-27,4025,KHR/USD
2025-10-28,4024,KHR/USD
2025-10-30,4020,KHR/USD
2025-10-30,4020,KHR/USD
2025-10-31,4020,KHR/USD
2025-11-03,4019,KHR/USD
2025-11-03,4019,KHR/USD
2025-11-03,4019,KHR/USD
2025-11-07,4019,KHR/USD
2025-11-07,4019,KHR/USD
2025-11-07,4019,KHR/USD
2025-11-07,4019,KHR/USD
2025-11-10,4018,KHR/USD
2025-11-10,4018,KHR/USD
2025-11-10,4018,KHR/USD
2025-11-11,4015,KHR/USD
